,VTI,VEA,VWO,BND,EMB
1/4/10,0.01667558,0.02690053,0.03414638,0.001143972,0.001473782
1/5/10,0.003838726,0.000569489,0.003301872,0.00292454,0.006082633
1/6/10,0.001390611,0.000284637,0.006111855,-0.000380261,0.001365182
1/7/10,0.004165906,-0.001991456,-0.008644835,-0.000760618,-0.005161153
1/8/10,0.003284398,0.0108323,0.0061277,0.001014994,0.00117458
1/11/10,0.001378326,0.006204208,0.001405514,0.000380213,0.007577254
1/12/10,-0.01032344,-0.01149103,-0.0145029,0.003800875,0.000242604
1/13/10,0.009388055,0.009356338,0.004035086,-0.00227187,-0.002231309
1/14/10,0.00172233,0.005617999,-0.00236403,0.002403476,-0.005250373
1/15/10,-0.011348,-0.01620106,-0.01184834,0.000631033,-0.000586429
1/19/10,0.01321736,0.01107324,0.01726612,-0.000504489,0.001564828
1/20/10,-0.009268746,-0.02555461,-0.02451667,0.002397507,0.001171713
1/21/10,-0.01836454,-0.02074931,-0.02899953,0.001131636,-0.001755587
1/22/10,-0.02206142,-0.02236605,-0.02239924,-0.000375954,-0.002833424
1/25/10,0.004331378,0.01475009,0.009674162,-0.001383655,0.000391935
1/26/10,-0.004492363,-0.005339671,-0.01916284,0.002393279,-0.000293818
1/27/10,0.004873585,-0.002087674,-0.002827779,-0.001382265,-0.002253389
1/28/10,-0.01185558,-0.01643752,-0.003867015,0.000377486,-0.003338534
1/29/10,-0.01181599,-0.01731995,-0.01035191,0.001257842,-0.002660065
2/1/10,0.01526854,0.01917127,0.02873951,-0.000647066,0.00030998
2/2/10,0.0128647,0.01941746,0.004855184,0.000630459,-0.00240119
2/3/10,-0.005008991,-0.01517852,-0.002782712,-0.000630062,-0.001392475
2/4/10,-0.03110391,-0.03898462,-0.04566208,0.001891474,-0.0101594
2/5/10,0.001670072,-0.008804994,-0.001860704,0.001636311,-0.00352182
2/8/10,-0.007780625,-0.00888327,-0.01864183,0.000125591,0.004443123
2/9/10,0.01325614,0.02976947,0.03066489,-0.002010253,-0.001206422
2/10/10,-0.001474145,-0.006216937,-0.00315953,-0.00226615,0.003120334
2/11/10,0.01070312,0.008445492,0.02456419,-0.001640344,0.00702385
2/12/10,0,-0.002481446,-0.01108534,0.001390301,-0.001494635
2/16/10,0.01679748,0.01585816,0.02554743,0.001262129,0.001696419
2/17/10,0.005566554,0.001224393,0.003812952,-0.002269007,0.004283725
2/18/10,0.00571428,0.009171484,0.002025779,-0.001389774,-0.002380695
2/19/10,0.00355115,-0.009088133,-0.006570592,0,0.003480148
2/22/10,-0.001592359,0.001528561,0.000508788,-0.000379539,0.000495472
2/23/10,-0.01205033,-0.01129423,-0.0223748,0.00379693,-0.001584665
2/24/10,0.00896861,0.003087443,0.01248373,0.001260952,0.001487963
2/25/10,-0.000355564,-0.004001264,-0.007963046,0.001385128,0.003565775
2/26/10,0,0.006798554,0.008839983,0.001131841,0.007599651
3/1/10,0.01191538,0.007366417,0.01664728,0.001049108,0.000794495
3/2/10,0.00316345,0.007312666,0.01136079,0.000755066,0.008172711
3/3/10,0.001226344,0.0142165,0.002496217,0.000125781,-0.001082811
3/4/10,0.002624632,-0.005070032,-0.006474062,0.000754402,0.000976548
3/5/10,0.01588132,0.02248201,0.02907268,-0.001507666,0.001073177
3/8/10,0.000171829,-0.002638527,-0.000243598,-0.001635899,0.003995673
3/9/10,0.002061129,-0.002939515,0.00414134,0.000676876,0.000679477
3/10/10,0.005313702,0.006485885,0.001940757,-0.000802303,-0.001163984
3/11/10,0.003751021,0.003222045,0.003874088,-0.000126083,0.00203942
3/12/10,0,0.004671528,-0.002653175,0.000378199,0.006784231
3/15/10,-0.000339739,-0.006102851,-0.006771434,0.001386271,0.001732772
3/16/10,0.008156387,0.01169584,0.01168735,0.001761885,0.001057088
3/17/10,0.006404808,0.005780369,0.01010835,0.00025131,0.004031853
3/18/10,-0.001172328,-0.006034457,-0.006433177,-0.001758344,-0.002390286
3/19/10,-0.006539225,-0.01040765,-0.009832131,0.000754876,0.003162755
3/22/10,0.007088577,0.002118088,0.002421857,0.001005806,-0.002675063
3/23/10,0.007038746,0.00841047,0.007972985,0,0.000479002
3/24/10,-0.005824571,-0.01792952,-0.01342285,-0.005023882,-0.000766008
3/25/10,-0.00174088,0.001177883,-0.005162816,-0.003155769,-0.002012257
3/26/10,-0.000168386,0.006176444,0.007143375,0.002152693,-0.000480106
3/29/10,0.005893287,0.01023099,0.01818623,-0.002148069,0.00076851
3/30/10,0.000502156,0.00086802,0.003334112,0.002026036,-0.00038396
3/31/10,-0.003011549,0.000867267,0.000474732,0.000884616,0.001056276
4/1/10,0.007215981,0.01473143,0.023962,-0.000319008,0.000466971
4/5/10,0.009663412,-0.001423263,0.009962936,-0.005829187,0.001348482
4/6/10,0.002805313,0.001140168,0.002064697,0.000764592,-0.001058105
4/7/10,-0.0053316,-0.01025059,-0.007829648,0.003820235,0.000481493
4/8/10,0.002382308,0.000863136,0.002584326,-0.000507433,0.001347444
4/9/10,0.006766791,0.01465934,0.00529343,0.001903814,0.001057292
4/12/10,0.002295072,0.003965988,-0.008241772,0.001013354,0.002400384
4/13/10,0.000981377,-0.001128586,-0.000692493,0.00202485,0.000478883
4/14/10,0.0122549,0.01271178,0.01570802,-0.000757736,0.00248925
4/15/10,0.001291332,0.000836893,-0.006140561,0.001516622,0.005443603
4/16/10,-0.01563755,-0.02341137,-0.02631582,0.002145454,0.000379948
4/19/10,0.002620371,-0.001997708,-0.004700371,-0.001259364,-0.002563584
4/20/10,0.009473995,0.007720917,0.01157029,0.001008723,0.002855739
4/21/10,-0.000809049,-0.007661761,-0.0039683,0.000755732,-0.001139014
4/22/10,0.004858287,-0.009722623,0.004452834,-0.000629269,-0.002755877
4/23/10,0.006768767,0.006641627,0.00513302,-0.000755733,-0.002287074
4/26/10,-0.00352171,0.002008023,0.000464175,-0.000504075,0.000477584
4/27/10,-0.02409638,-0.03950762,-0.03549881,0.003656914,-0.006969006
4/28/10,0.006584387,-0.000894151,0.009862878,-0.000628162,-0.002499467
4/29/10,0.01308257,0.01730304,0.01476891,0.000377153,0.001831099
4/30/10,-0.0171106,-0.01290319,-0.01267599,0.002890579,0.003367062
5/3/10,0.0134669,0.005347603,0.006181605,-0.000544942,0.001449993
5/4/10,-0.02430724,-0.03959811,-0.04111526,0.002879828,-0.005097196
5/5/10,-0.008138148,-0.01723075,-0.01848201,0.000514118,-0.007539863
5/6/10,-0.03369057,-0.04727615,-0.03660558,0.003883925,-0.04443262
5/7/10,-0.01885356,-0.002300351,0.000990258,-0.002495606,0.01377968
5/10/10,0.04592021,0.06488805,0.06560793,-0.001126458,0.03368187
5/11/10,-0.000844361,-0.01299109,-0.01759104,0.001378281,0.000486364
5/12/10,0.01605545,0.009714866,0.01392692,-0.002752768,0.003888796
5/13/10,-0.011976,-0.01210432,-0.009811173,0.001882077,0.00319576
5/14/10,-0.01801346,-0.02764685,-0.01733963,0.003381394,-0.004923202
5/17/10,0.000685704,-0.002584812,-0.004789479,0.000124744,-0.000194066
5/18/10,-0.01413399,-0.02170392,-0.02152985,0.003743954,-0.001455404
5/19/10,-0.007211697,0.006953612,-0.01242556,0.000248622,-0.005538892
5/20/10,-0.03885876,-0.04537978,-0.0453474,0.001740204,-0.01983583
5/21/10,0.01456928,0.03238025,0.02718291,0.001364941,0.007676247
5/24/10,-0.01256508,-0.02235569,-0.01095963,-0.000123848,0.003066854
5/25/10,0,-0.002047763,-0.009189193,0.000247821,-0.00818623
5/26/10,-0.00418105,-0.01607385,0,-0.001238985,0.004972156
5/27/10,0.03495803,0.05596102,0.05782867,-0.003845647,0.006332865
5/28/10,-0.01067113,-0.01974978,-0.01495611,0.001992479,0.002359936
6/1/10,-0.02068105,-0.01141706,-0.01780106,0.000796703,0.002155058
6/2/10,0.02603314,0.03057064,0.03544771,-0.000871944,-0.004719258
6/3/10,0.00532291,-0.005273561,-0.0041184,-0.001122009,0.008396705
6/4/10,-0.03513945,-0.04075545,-0.03308345,0.002745801,-0.004702227
6/7/10,-0.0162615,-0.01485321,-0.01390004,0.003111775,-0.00324805
6/8/10,0.008553419,0.016129,0.02168607,-0.00037224,-0.002468648
6/9/10,-0.004609144,-0.002760522,-0.006898337,0,0.003365709
6/10/10,0.03074643,0.04221458,0.0312583,-0.004096254,0.004735554
6/11/10,0.006109616,0.002324027,0.006994831,0.001620307,0.003633177
6/14/10,0.000178573,0.005631006,-0.000771772,0.000248838,0.002837305
6/15/10,0.02249997,0.03162052,0.03038106,-0.001741719,0.003024366
6/16/10,-0.001047809,-0.002554276,-0.001249356,0.002367927,0.002139881
6/17/10,0.001748225,0.001280439,-0.003502612,0.002735313,0.002038233
6/18/10,0.000698096,-0.001278802,0.00577453,-0.000371963,0.004649393
6/21/10,-0.003836785,0.000960329,0.01847224,0.000248036,0.002699564
6/22/10,-0.01715685,-0.0127918,-0.01887256,0.002356181,-0.002403846
6/23/10,-0.003918796,0.005830852,0.004496635,0.002474291,0.000963841
6/24/10,-0.01575461,-0.01739127,-0.01492162,-0.001357529,-0.003081365
6/25/10,0.005112265,0.005899715,0.01110827,0.00123577,-0.000289759
6/28/10,-0.003360537,-0.007494345,-0.005243423,0.001851414,0.00289858
6/29/10,-0.03144085,-0.03611289,-0.03840358,0.002340796,-0.000481725
6/30/10,-0.01091453,-0.004087222,-0.008352902,0.00024578,0.001638537
7/1/10,-0.004375943,0.01162791,0.006054212,0.000484839,-0.00199188
7/2/10,-0.004777374,-0.00202838,0.002093093,-0.000615877,0.001065381
7/6/10,0.003072194,0.01964769,0.01723237,0.002464838,0.001547949
7/7/10,0.03254205,0.03222589,0.01950724,-0.001229389,0.003960623
7/8/10,0.009825781,0.01158676,0.006545778,-0.000738522,0.004714691
7/9/10,0.007710632,0.000636349,0.01250625,-0.001108696,0.002202675
7/12/10,0.000364373,-0.00286169,-0.007658137,0.000370038,-0.002962305
7/13/10,0.01639049,0.01753824,0.0119493,-0.001725831,0.008338152
7/14/10,-0.000179218,0.001253554,-0.001476048,0.002593221,0.001425734
